"date","ymd","CalaverasReservoir","F2","F3E","F3W","F4","F6","ReadyMix","SanAntonioReservoir"
2010-10-01,"20101001",703.2,-999,-999,-999,-999,-999,-999,464.9
2010-10-02,"20101002",703,-999,-999,-999,-999,-999,-999,464.9
2010-10-03,"20101003",702.8,-999,-999,-999,-999,-999,-999,464.9
2010-10-04,"20101004",702.7,-999,-999,-999,-999,-999,-999,464.9
2010-10-05,"20101005",702,-999,-999,-999,-999,-999,-999,464.9
2010-10-06,"20101006",702,-999,-999,-999,-999,-999,-999,464.9
2010-10-07,"20101007",701.9,-999,-999,-999,-999,-999,-999,464.8
2010-10-08,"20101008",701.7,-999,-999,-999,-999,-999,-999,464.8
2010-10-09,"20101009",701.5,-999,-999,-999,-999,-999,-999,464.8
2010-10-10,"20101010",701.3,-999,-999,-999,-999,-999,-999,464.8
2010-10-11,"20101011",701,-999,-999,-999,-999,-999,-999,464.8
2010-10-12,"20101012",700.6,-999,-999,-999,-999,-999,-999,464.7
2010-10-13,"20101013",700.3,-999,-999,-999,-999,-999,-999,464.7
2010-10-14,"20101014",700.2,-999,-999,-999,-999,-999,-999,464.7
2010-10-15,"20101015",700,-999,-999,-999,-999,-999,-999,464.7
2010-10-16,"20101016",699.8,-999,-999,-999,-999,-999,-999,464.7
2010-10-17,"20101017",699.4,-999,-999,-999,-999,-999,-999,464.7
2010-10-18,"20101018",699.2,-999,-999,-999,-999,-999,-999,464.7
2010-10-19,"20101019",698.9,-999,-999,-999,-999,-999,-999,464.7
2010-10-20,"20101020",698.5,-999,-999,-999,-999,-999,-999,464.6
2010-10-21,"20101021",698.3,-999,-999,-999,-999,-999,-999,464.6
2010-10-22,"20101022",698.1,-999,-999,-999,-999,-999,-999,464.6
2010-10-23,"20101023",697.9,-999,-999,-999,-999,-999,-999,464.6
2010-10-24,"20101024",697.8,-999,-999,-999,-999,-999,-999,464.6
2010-10-25,"20101025",697.8,-999,-999,-999,-999,-999,-999,464.6
2010-10-26,"20101026",697.7,-999,-999,-999,-999,-999,-999,464.6
2010-10-27,"20101027",697.6,-999,-999,-999,-999,-999,-999,464.6
2010-10-28,"20101028",697.6,-999,-999,-999,-999,-999,-999,464.5
2010-10-29,"20101029",697.6,-999,-999,-999,-999,-999,-999,464.4
2010-10-30,"20101030",697.6,-999,-999,-999,-999,-999,-999,464.4
2010-10-31,"20101031",697.6,-999,-999,-999,-999,-999,-999,464.2
2010-11-01,"20101101",697.6,-999,-999,-999,-999,-999,-999,464.2
2010-11-02,"20101102",697.4,-999,-999,-999,-999,-999,-999,464.1
2010-11-03,"20101103",697.3,-999,-999,-999,-999,-999,-999,464
2010-11-04,"20101104",697.6,-999,-999,-999,-999,-999,-999,463.9
2010-11-05,"20101105",697.6,-999,-999,-999,-999,-999,-999,463.9
2010-11-06,"20101106",697.6,-999,-999,-999,-999,-999,-999,464.1
2010-11-07,"20101107",697.9,-999,-999,-999,-999,-999,-999,463.7
2010-11-08,"20101108",697.7,-999,-999,-999,-999,-999,-999,463.7
2010-11-09,"20101109",697.6,-999,-999,-999,-999,-999,-999,463.6
2010-11-10,"20101110",697.7,-999,-999,-999,-999,-999,-999,463.6
2010-11-11,"20101111",697.7,-999,-999,-999,-999,-999,-999,463.6
2010-11-12,"20101112",697.7,-999,-999,-999,-999,-999,-999,463.5
2010-11-13,"20101113",697.6,-999,-999,-999,-999,-999,-999,463.4
2010-11-14,"20101114",697.6,-999,-999,-999,-999,-999,-999,463.3
2010-11-15,"20101115",697.7,-999,-999,-999,-999,-999,-999,463.2
2010-11-16,"20101116",697.7,-999,-999,-999,-999,-999,-999,463.1
2010-11-17,"20101117",697.7,-999,-999,-999,-999,-999,-999,462.9
2010-11-18,"20101118",697.7,-999,-999,-999,-999,-999,-999,462.7
2010-11-19,"20101119",697.7,-999,-999,-999,-999,-999,-999,462.5
2010-11-20,"20101120",697.8,-999,-999,-999,-999,-999,-999,462.5
2010-11-21,"20101121",697.9,-999,-999,-999,-999,-999,-999,462.5
2010-11-22,"20101122",698,-999,-999,-999,-999,-999,-999,462.4
2010-11-23,"20101123",698,-999,-999,-999,-999,-999,-999,462.3
2010-11-24,"20101124",698.1,-999,-999,-999,-999,-999,-999,462.3
2010-11-25,"20101125",698.1,-999,-999,-999,-999,-999,-999,462.2
2010-11-26,"20101126",698.2,-999,-999,-999,-999,-999,-999,462.1
2010-11-27,"20101127",698.2,-999,-999,-999,-999,-999,-999,462
2010-11-28,"20101128",698.2,-999,-999,-999,-999,-999,-999,461.9
2010-11-29,"20101129",698.3,-999,-999,-999,-999,-999,-999,461.8
2010-11-30,"20101130",698.3,-999,-999,-999,-999,-999,-999,461.7
2010-12-01,"20101201",698.3,-999,-999,-999,-999,-999,-999,461.7
2010-12-02,"20101202",698.4,-999,-999,-999,-999,-999,-999,461.7
2010-12-03,"20101203",698.4,-999,-999,-999,-999,-999,-999,461.7
2010-12-04,"20101204",698.4,-999,-999,-999,-999,-999,-999,461.6
2010-12-05,"20101205",698.4,-999,-999,-999,-999,-999,-999,461.7
2010-12-06,"20101206",698.4,-999,-999,-999,-999,-999,-999,461.7
2010-12-07,"20101207",698.5,-999,-999,-999,-999,-999,-999,461.7
2010-12-08,"20101208",698.5,-999,-999,-999,-999,-999,-999,461.7
